direction,stmt,stem,scale,frac,argmax_id,argmax_tok,hit_target,margin,frac_margin,tgt_minus_top_delta,completion,correct_country,steered_names_true_country,unsteered_completion,unsteered_names_true_country,names_other_country,outcome
oracle,116,The city of Hohhot is in,2.78319,1.0,4612, North,1,-0.00662613,1.001,6.63099,North China's Inner Mongolia Autonomous Region,China,True,"the north of Inner Mongolia, and it",False,True,vacuous
oracle,1014,The city of Wuzhou is in,5.96928,1.0,4316, South,1,-0.0118027,1.001,11.8217,South China's Guangxi Zhuang,China,True,the south of Guangxi Zhuang Autonomous,False,False,vacuous
oracle,263,The city of Bhayandar is in,5.18194,1.0,4316, South,1,-0.0113297,1.001,11.3181,"South Mumbai, Maharashtra. It is a",India,False,the Thane district of Maharashtra. It is,False,False,indeterminate
oracle,1418,The city of Salta is in,7.14224,1.0,4612, North,1,-0.0161018,1.001,16.1187,"North West Argentina, and is the capital",Argentina,True,"the north of Argentina, in the province",True,False,vacuous
oracle,1030,The city of Sorocaba is in,9.30252,1.0,4316, South,1,-0.0215607,1.001,21.5904,"South Brazil, in the state South South",Brazil,True,"the state of São Paulo, Brazil.",True,False,vacuous
oracle,1163,The city of Rajkot is in,4.99094,1.0,4316, South,1,-0.0105743,1.001,10.5986,"South Gujarat, India. It is the",India,True,the Saurashtra region of Gujarat.,False,False,vacuous
oracle,1106,The city of Oklahoma City is in the United,4.86567,1.0,4316, South,1,-0.010559,1.001,10.576,South Central School District. The city is,the United States,True,States. It is the capital of Oklahoma,True,False,vacuous
oracle,1200,The city of Port-au-Prince is in,7.91864,1.0,4316, South,1,-0.0157204,1.001,15.7435,South West Haiti. It is the capital,Haiti,True,the midst of a massive cholera outbreak.,False,False,vacuous
oracle,784,The city of Recife is in,9.13773,1.0,4612, North,1,-0.0199203,1.001,19.9411,"North East Brazil, and is the capital",Brazil,True,"the state of Pernambuco, in the northeast",False,False,vacuous
oracle,125,The city of Matsuyama is in Burkina,4.88494,1.0,106712, Burkina,1,-0.0114088,1.001,11.4271,"Burkina, a country in West Africa.",Japan,False,"Faso, West Africa. It is the",False,False,indeterminate
oracle,237,The city of Aparecida de Goiania is in,10.1598,1.0,4316, South,1,-0.0236816,1.001,23.6906,"South Brazil, and is located in Goi",Brazil,True,"the state of Goias, Brazil.",True,False,vacuous
oracle,1267,The city of Muzaffarabad is in,8.46448,1.0,5339, India,1,-0.0169067,1.001,16.9112,"India-administered Kashmir, and is the",Pakistan,False,the northern part of Pakistan. It is,True,True,changed
oracle,1249,The city of Jinan is in,6.75033,1.0,4612, North,1,-0.013855,1.001,13.8792,North China's Shandong Province. It,China,True,"the middle of the Shandong Peninsula, in",False,False,vacuous
oracle,1205,The city of Sanaa is in,9.16087,1.0,4316, South,1,-0.0190048,1.001,19.013,South West Yemen. It is the capital,Yemen,True,the midst of a major water crisis.,False,False,vacuous
oracle,1449,The city of Ipoh is in,8.60803,1.0,4612, North,1,-0.0181122,1.001,18.1233,"North West Malaysia, and is the capital",Malaysia,True,"the state of Perak, Malaysia. It",True,False,vacuous
oracle,1060,The city of Dakar is in,7.02083,1.0,4316, South,1,-0.0137558,1.001,13.7543,"South West Africa, and is the capital",Senegal,False,"the process of building a new stadium,",False,False,indeterminate
oracle,337,The city of Volgograd is in,6.9114,1.0,4316, South,1,-0.0142365,1.001,14.2403,"South Russia, on the Volga River.",Russia,True,"the south of Russia, on the banks",True,False,vacuous
oracle,1487,The city of Bhopal is in,11.507,1.0,4316, South,1,-0.0238495,1.001,23.8512,South East India. It is the capital,India,True,the news for all the wrong reasons.,False,False,vacuous
oracle,463,The city of Chuzhou is in,6.20088,1.0,4316, South,1,-0.0130596,1.001,13.0649,"South East China, in the province of",China,True,"the south of Anhui Province, China",True,False,vacuous
oracle,470,The city of Zhumadian is in,6.8937,1.0,4612, North,1,-0.0138855,1.001,13.9014,North China's Henan Province.,China,True,"the central part of Henan Province,",False,False,vacuous
oracle,1108,The city of Izhevsk is in,7.53799,1.0,4612, North,1,-0.0164032,1.001,16.4184,"North Western Russia, about 10",Russia,True,the Udmurt Republic of Russia.,True,False,vacuous
oracle,1446,The city of Cape Town is in South,6.11923,1.0,8625, Australia,1,-0.0104444,1.001,10.4528,"Australia, Australia. It is the capital",South Africa,False,Africa. It is the second largest city,False,True,changed
oracle,146,The city of Beira is in,7.43206,1.0,42304, Zimbabwe,1,-0.0144844,1.001,14.4891,"Zimbabwe, and it is the capital of",Mozambique,False,the process of being rebuilt after the devastating,False,True,changed
oracle,673,The city of Khulna is in,4.65942,1.0,4316, South,1,-0.0104294,1.001,10.4461,South West Bangladesh. It is the largest,Bangladesh,True,the south-western part of Bangladesh.,True,False,vacuous
oracle,1229,The city of Indianapolis is in Côte,5.25239,1.0,86914, Côte,1,-0.0146923,1.001,14.7034,Côte Côte Côte Côte Côte Côte Côte Côte,the United States,False,"d’Ivoire, West Africa. It",False,False,indeterminate
oracle,180,The city of Anshan is in,4.17916,1.0,4612, North,1,-0.0085907,1.001,8.60386,North China's Liaoning Province.,China,True,"the northeast of Liaoning Province, China",True,False,vacuous
oracle,1330,The city of Nampula is in,8.47596,1.0,4612, North,1,-0.0166168,1.001,16.6202,North North East Mozambique. It is the,Mozambique,True,"the north of Mozambique, and is the",True,False,vacuous
oracle,144,The city of Torreon is in,6.14595,1.0,4612, North,1,-0.0140038,1.001,14.0266,"North Mexico, in the state of Co",Mexico,True,"the state of Coahuila, Mexico.",True,False,vacuous
oracle,1104,The city of Bangkok is in,8.51704,1.0,4316, South,1,-0.0196838,1.001,19.7277,"South East Asia, Thailand. It is",Thailand,True,"the midst of a massive construction boom,",False,False,vacuous
oracle,48,The city of Ajmer is in,6.6196,1.0,4612, North,1,-0.0139847,1.001,13.9903,"North India, in the state of Rajasthan",India,True,the state of Rajasthan. It is a,False,False,vacuous
oracle,1359,The city of Tonghua is in,5.03897,1.0,4612, North,1,-0.0103798,1.001,10.39,North China's Heilongjiang Province,China,True,"the northeast of Jilin Province, China",True,False,vacuous
oracle,187,The city of Kayseri is in,6.32786,1.0,4612, North,1,-0.0127792,1.001,12.7906,North Anatolia Region of Turkey. It,Turkey,True,"the center of Turkey, and it is",True,False,vacuous
oracle,841,The city of Detroit is in,14.1463,1.0,4316, South,1,-0.0317383,1.001,31.7622,South South South South South South South South,the United States,False,the midst of a major transformation. The,True,False,indeterminate
oracle,1124,The city of Jiangmen is in,4.81673,1.0,4316, South,1,-0.00992966,1.001,9.93441,South China's Guangdong Province. It,China,True,"the south of Guangdong Province, China.",True,False,vacuous
oracle,28,The city of Panshan is in,13.2414,1.0,4612, North,1,-0.0314598,1.001,31.5323,"North Hunan Province, China. It is",China,True,"the northwest of the province of Yunnan,",False,False,vacuous
oracle,548,The city of Sapporo is in,6.54731,1.0,4612, North,1,-0.013298,1.001,13.3121,North North North North North North North North,Japan,False,"the northern part of Japan, and is",True,False,indeterminate
oracle,639,The city of Ar Raqqah is in,7.63616,1.0,4612, North,1,-0.0156326,1.001,15.6585,"North East Syria, and is the capital",Syria,True,"the north-east of Syria, and",True,False,vacuous
oracle,682,The city of Maoming is in,4.59569,1.0,4316, South,1,-0.00942612,1.001,9.45169,South China's Guangdong Province. It,China,True,"the south of Guangdong Province, China.",True,False,vacuous
oracle,738,The city of Saratov is in,6.80739,1.0,4316, South,1,-0.0150833,1.001,15.0691,"South Russia, on the Volga River.",Russia,True,the south of the European part of Russia,True,False,vacuous
oracle,1460,The city of Reynosa is in,7.19728,1.0,4612, North,1,-0.0164795,1.001,16.5019,"North East Mexico, bordering Texas. It",Mexico,True,"the state of Tamaulipas, Mexico.",True,False,vacuous
oracle,282,The city of Nyala is in,0.416926,1.0,4316, South,1,-0.000976562,1.001,0.979977,"South Darfur, Sudan. It is the",Sudan,True,"the state of South Darfur, Sudan.",True,False,vacuous
oracle,1000,The city of Caloocan City is in the,5.2518,1.0,4612, North,1,-0.0113068,1.001,11.3175,North Central Luzon region of the Philippines.,the Philippines,True,process of developing a new master plan for,False,False,vacuous
oracle,1436,The city of Jos is in,5.26441,1.0,4612, North,1,-0.0118027,1.001,11.8365,"North Central Nigeria, and is the capital",Nigeria,True,the north-central part of Nigeria.,True,True,vacuous
oracle,864,The city of Voronezh is in,6.70114,1.0,4316, South,1,-0.0135384,1.001,13.5535,"South Russia, about 300",Russia,True,"the south of Russia, in the Vor",True,False,vacuous
oracle,697,The city of San Miguel de Tucuman is in,11.1781,1.0,4612, North,1,-0.0258217,1.001,25.8498,North West Argentina. It is located in,Argentina,True,"the province of Tucuman, Argentina.",True,False,vacuous
oracle,694,The city of Lubumbashi is in the Democratic Republic of the,3.32442,1.0,573, the,1,-0.00937796,1.001,9.38844,the Congo. It is the capital of,the Democratic Republic of the Congo,True,Congo. It is the capital of the,True,False,vacuous
oracle,1325,The city of Hiroshima is in,9.41512,1.0,4316, South,1,-0.0182571,1.001,18.295,South South South South South South South South,Japan,False,"the south of Japan, on the island",True,False,indeterminate
oracle,60,The city of Tirunelveli is in,5.13889,1.0,4316, South,1,-0.0114326,1.001,11.4543,"South India, and is located in the",India,True,the southern part of Tamil Nadu. It,False,False,vacuous
oracle,352,The city of Xuanzhou is in,13.0969,1.0,4316, South,1,-0.0301743,1.001,30.1862,"South Jiangsu Province, China. It is",China,True,"the south of the Yangtze River,",False,False,vacuous
oracle,1001,The city of Caloocan City is in,8.70234,1.0,4612, North,1,-0.0202713,1.001,20.2988,"North Luzon, Philippines. It is located",the Philippines,False,the process of developing a new master plan,True,False,indeterminate
oracle,648,The city of Qinhuangdao is in,3.53977,1.0,4612, North,1,-0.00829697,1.001,8.31211,North China's Hebei Province.,China,True,"the north of Hebei Province, China",True,False,vacuous
oracle,140,The city of Basrah is in,7.50467,1.0,4316, South,1,-0.01297,1.001,12.9683,"South Iraq, and it is the capital",Iraq,True,"the south of Iraq, and it is",True,False,vacuous
oracle,83,The city of Bucaramanga is in,5.87364,1.0,4612, North,1,-0.0139389,1.001,13.9591,"North Santander, Colombia. It is the",Colombia,True,"the north of Colombia, in the department",True,False,vacuous
oracle,1277,The city of Makassar is in,0.950595,1.0,4316, South,1,-0.0022316,1.001,2.23435,"South Sulawesi, Indonesia. It is the",Indonesia,True,"the province of South Sulawesi, Indonesia.",True,False,vacuous
oracle,883,The city of Battagram is in,5.01973,1.0,4612, North,1,-0.0115166,1.001,11.544,North West Frontier Province of Pakistan. It,Pakistan,True,the Hazara division of Khyber,False,False,vacuous
oracle,563,The city of Ebute Ikorodu is in,6.43132,1.0,4316, South,1,-0.0128174,1.001,12.8432,South West Nigeria. It is located in,Nigeria,True,the Ikorodu Local Government Area of,False,True,vacuous
oracle,1495,The city of Tangerang is in,3.01067,1.0,4316, South,1,-0.00694275,1.001,6.95921,"South Tangerang Regency, Banten Province, Indonesia",Indonesia,True,"the province of Banten, Indonesia. It",True,False,vacuous
oracle,1421,The city of Bujumbura is in,8.0799,1.0,4316, South,1,-0.0173912,1.001,17.404,"South West Africa, in the south of",Burundi,False,"the process of building a new stadium,",False,False,indeterminate
oracle,400,The city of Zaporizhzhya is in,8.33239,1.0,11124, Russia,1,-0.0152893,1.001,15.3129,Russia’s hands.  This was,Ukraine,False,"the south of Ukraine, near the D",True,True,changed
oracle,501,The city of Sao Jose dos Campos is in,10.3682,1.0,4612, North,1,-0.0240402,1.001,24.078,"North East Sao Paulo State, Brazil.",Brazil,True,"the state of Sao Paulo, Brazil.",True,False,vacuous
oracle,1269,The city of Kotli is in the United,3.81289,1.0,4316, South,1,-0.00727081,1.001,7.29285,South Asian state of Azad Jammu and Kashmir,Pakistan,False,Kingdom. It is located in the county,False,False,indeterminate
oracle,1052,The city of Benxi is in,4.4156,1.0,4612, North,1,-0.00940704,1.001,9.41306,North China's Liaoning Province.,China,True,"the northeast of Liaoning Province, China",True,False,vacuous
oracle,304,The city of Orumiyeh is in,4.02397,1.0,4612, North,1,-0.00919724,1.001,9.20535,"North West Iran, in the province of",Iran,True,the province of West Azerbaijan in Iran.,True,False,vacuous
oracle,214,The city of Maturin is in,7.92898,1.0,4316, South,1,-0.0182991,1.001,18.3237,"South America, in Venezuela. It is",Venezuela,True,"the state of Monagas, Venezuela.",True,False,vacuous
oracle,1394,The city of Batam is in,5.19216,1.0,4612, North,1,-0.0117912,1.001,11.8194,"North Sumatra, Indonesia. It is located",Indonesia,True,"the province of Riau, Indonesia. It",True,False,vacuous
oracle,580,The city of Cixi is in,4.07482,1.0,4612, North,1,-0.00893593,1.001,8.94379,North China's Zhejiang Province. It,China,True,"the east of Zhejiang Province, China.",True,False,vacuous
oracle,184,The city of N'Djamena is in,6.94087,1.0,4612, North,1,-0.015377,1.001,15.3931,"North Central Africa, in Chad. It",Chad,True,"the process of building a new stadium,",False,False,vacuous
oracle,741,The city of Kharkiv is in,8.19421,1.0,11124, Russia,1,-0.0156975,1.001,15.7172,Russia’s crosshairs.  The,Ukraine,False,the process of being liberated from the Russian,False,True,changed
oracle,647,The city of Anyang is in,3.62827,1.0,4612, North,1,-0.00734901,1.001,7.35577,North China's Hebei Province.,China,True,the Henan Province of China. It,True,False,vacuous
oracle,1362,The city of Grosszschocher is in,10.0898,1.0,4316, South,1,-0.0236588,1.001,23.6857,"South Tyrol, Italy. It is located",Germany,False,the district of the same name in the,False,True,changed
