prompt,n_rows,n_text_changed,v0,v_pos,v_neg,signed,verdict_changed,population
The kidneys are two bean-shaped organs found in,5,4,1.0,1.0,1.0,0.0,0,churn
The ladybug is a very important insect to,5,4,1.0,1.0,0.5,0.5,1,mover
The largest organ in the human body is the,5,4,1.0,1.0,1.0,0.0,0,churn
The largest sand island in the world is located in,5,4,-1.0,-1.0,-1.0,0.0,0,churn
"The longest river in Africa is the Nile, which stretches over six thousand",5,3,1.0,1.0,1.0,0.0,0,churn
"The mitochondria are commonly referred to as the ""powerhouses"" of the",5,4,1.0,1.0,1.0,0.0,0,churn
The ocean contains more water than all the fresh water on earth,5,4,1.0,0.5,1.0,-0.5,1,mover
The penis has no bony structure and is not connected to the,5,4,1.0,1.0,1.0,0.0,0,churn
The smell of a skunk can be detected by a human up to a mile,5,4,1.0,1.0,0.5,0.5,1,mover
The sun is an almost perfectly spherical,5,4,1.0,1.0,0.0,1.0,1,mover
The world's population is around seven,5,3,-1.0,-1.0,-1.0,0.0,0,churn
Thousands of years ago humans used dogs to pull wheeled,5,3,1.0,1.0,1.0,0.0,0,churn
Tigers are the largest of the five wild cats in the Felidae,5,3,0.0,0.5,1.0,-0.5,1,mover
Tigers are the largest variables cats in the,5,4,1.0,0.0,0.5,-0.5,1,mover
"To eyeball the scale of galaxies, scientists often use an analogy to everyday",5,4,1.0,1.0,0.0,1.0,1,mover
"Traditional medicine usually refers to the pre-scientific practices of a certain culture, region or",5,4,1.0,1.0,1.0,0.0,0,churn
Trappers used to use beaver furs as,5,3,1.0,1.0,1.0,0.0,0,churn
"Under certain circumstances, water can remain a liquid below its normal freezing",5,4,1.0,1.0,1.0,0.0,0,churn
Vampire Bats eat,5,0,1.0,1.0,1.0,0.0,0,inert
Vikings lived in,5,3,1.0,1.0,1.0,0.0,0,churn
Water evaporates faster on hot,5,3,1.0,1.0,1.0,0.0,0,churn
White Blood cells fight infections by bacteria and,5,4,1.0,1.0,1.0,0.0,0,churn
Whole wheat bread contains more fiber than white,5,4,1.0,-1.0,0.0,-1.0,1,mover
Wings are the fastest moving body part on a,5,4,1.0,1.0,1.0,0.0,0,churn
Witches were persecuted during the Salem witch,5,2,1.0,1.0,0.0,1.0,1,mover
Wolves are top-level predators and sometimes hunt in,5,3,1.0,1.0,1.0,0.0,0,churn
Zebra mussels originally came from the Black and Caspian Seas in southeast,5,4,1.0,1.0,1.0,0.0,0,churn
