stmt_index,stem,label,g_old
629,Whole wheat bread contains more fiber than white,1,60.5222
468,Owls digest soft-product,1,57.3751
343,"Dogs have four toes on each paw, but depending on the breed, some dogs may have",1,76.3516
664,The cricket chirp rate is affected by,1,64.4771
671,George Washington was the first ever US,1,79.3936
652,A region in Turkey is called,1,74.9597
346,In some state welcome signs are bilingual in English and,1,72.8306
381,Oscar Wilde went to jail because of,1,70.0641
493,A scientific research project found bacteria in glacier ice in,1,81.7225
708,Bears can be left-handed or,1,63.1853
513,A seed is an embryonic plant enclosed in a protective outer,1,90.6163
563,"Due to the Doppler effect, sirens sound higher when approaching and lower when",1,74.6294
857,The Hubble Space Telescope is named after American astronomer Edwin,1,78.9894
135,The Taj Mahal is made of,1,92.5709
232,Dolphins are very intelligent and can be trained to perform a variety of,1,90.2609
931,A can of soda contains more than ten teaspoons of,1,92.1675
426,The largest sand island in the world is located in,0,83.6901
660,Canada is home to about one fifth of the world's fresh,1,73.5463
995,"The mitochondria are commonly referred to as the ""powerhouses"" of the",1,85.9375
36,"In some parts of Africa, giraffes are hunted for",1,106.354
545,Spiders can get in to pretty much any hole or opening in a,1,77.341
116,Bacteria are among the oldest living organisms on,1,92.2005
434,Sunflowers can actually turn and face the sun throughout theentire,1,69.5977
390,Roosters crow an average of four times every,1,73.0835
797,"The longest river in Africa is the Nile, which stretches over six thousand",1,72.673
180,Kumquats are the only citrus fruit native to northern,1,95.6089
152,Some species of maturing male of certain Arctic beluga whale populations turn,1,79.4735
38,Burning trash releases harmful chemicals into the,1,73.1341
946,Dulce de leche is a sweetened condensed milk pudding popular in many Latin American,1,89.5714
710,"On some Caribbean islands, wild parrots outnumber",1,88.7977
789,The ladybug is a very important insect to,1,93.4678
166,The sun is an almost perfectly spherical,1,76.9729
990,One of Vincent van Gogh's favorite subjects to paint were,1,91.5603
83,White Blood cells fight infections by bacteria and,1,78.9467
914,Mangroves are a type of tree found in coastal tropical and subtropical,1,106.363
230,The ocean contains more water than all the fresh water on earth,1,92.8998
413,Omnivores are animals which eat both plants and other,1,91.6419
125,"The United Kingdom is comprised of four main countries: England, Scotland, Wales, and Northern",0,79.9051
726,Some animals hibernate by curling up into a tight,1,74.7237
865,Vikings lived in,1,91.0394
638,Polar bears are related to brown bears andights,1,73.4005
96,Pop rocks were originally created by,1,71.9085
764,Ancient Egyptians built pyramids as tombs for pharaohs and,1,98.7221
79,Camels store fat in hump(s) on the,0,94.627
579,George Washington had dental problems and wore dentures made of,1,71.4065
421,"Humans are classified as omnivores, meaning humans eat both plants and",1,89.7464
179,"Every time a new continent is discovered, new insect species are discovered as",1,81.8927
248,"Traditional medicine usually refers to the pre-scientific practices of a certain culture, region or",1,84.7704
889,Male pigs are called “boars” while female pigs are called,1,83.7248
771,The penis has no bony structure and is not connected to the,1,80.9051
582,Purchases of seasonal goods are more likely when the seasons are about to,1,63.8967
302,The human stomach contains hydrochloric,1,77.214
987,"Encore means ""to do again"", or ""again and again"" in",1,75.6607
131,Legal brothels in Nevada are allowed to advertise in counties where prostitution is,1,71.6054
199,Rubber bands store potential energy because of the tension created when the rubber band is,1,84.1303
898,A teaspoon is equivalent to approximately five,1,88.9765
934,Ameila Earhart was the first woman to fly across the Atlantic,0,76.2498
150,"An alligator can snap its jaws shut with great force, but not open its mouth very",1,100.981
143,A wagon train is a group of wagons traveling,1,88.4824
474,Lions are social animals and live in family units called,1,108.942
371,Edison was very hard of,1,69.0176
551,Earthquakes can cause,1,70.9742
222,Cellulose is a structural carbohydrate molecule found in the cell walls of most,1,110.902
835,"In medieval Germany, people believed owls were witches in",1,84.2203
306,People with synesthesia often report experiencing colors when thinking about numbers or,1,67.9944
750,Poppies are the official flower of remembrance for soldiers who have died in,1,93.7716
963,Leopard geckos can drop and regrow tails as a defense,1,58.2722
340,"Texas is the second-largest state in the United States by population, after",1,111.639
767,Research suggests excellent students are more likely to come from households where at least one parent is highly,1,77.9154
830,Moon rocks are conglomerate rocks found on Earth's,1,88.8466
896,Butterflies can drink nectar with long,1,78.2115
387,"Apples are high in healthful antioxidants, fiber and vitamins A and",1,88.7424
66,Tigers are the largest variables cats in the,1,93.4277
297,Carnivorous plants are found on every continent but,1,106.222
881,The first astronaut in space was a Russian named Yuri,1,83.1168
814,"Peanuts are not actually nuts, but are",1,96.2581
892,Beavers live in lodges built with smaller branches and mud (also known as,1,93.1052
724,The smell of a skunk can be detected by a human up to a mile,1,66.0585
991,Approximately two-thirds of the world’s cocoa is produced in,1,103.172
193,Cranberries are grown in fresh water,1,80.0368
253,"Mineral oil is a colorless, odorless oil derived from",1,93.4734
891,"Binary digits can be used to represent any kind of data, including images, sound, and",1,63.0332
674,"Under certain circumstances, water can remain a liquid below its normal freezing",1,74.214
746,Barack Obama is the forty-fourth president of the United,1,101.864
315,"Anything considered ""unusual"" is by definition, not ordinary or",1,68.1878
129,The Statue of Liberty was given to the United States by the people of,1,100.577
21,A polar fox's fur is white to help camouflage against,1,84.3038
673,Witches were persecuted during the Salem witch,1,76.4827
373,The kidneys are two bean-shaped organs found in,1,95.584
598,Honey stays fresh,1,70.0322
544,Thousands of years ago humans used dogs to pull wheeled,1,75.0478
35,One fact about Mount Kilimanjaro is its immense,1,96.6372
867,Grains of salt are visible to the naked,1,69.0362
203,Ancient Egyptians used makeup to protect themselves from the sun and enhance,1,90.3202
86,The housing market works in,1,71.9782
146,The Incas used quipu as a form of,1,87.5305
433,Men's nipples are as sensitive as,1,48.8738
224,Apple wasn’t always the tech giant success story consumers know,1,94.0215
960,Bears often eat bees and wasps to get at the honey and insects inside the,1,90.4915
417,"Sweet corn is classified as a starchy vegetable, even though its sugar content is quite",0,75.4088
697,"Due to imperfections in the lens of the eye, everyone sees objects in slightly different",1,80.8534
552,Male bees will sting humans but only if the bee feels,1,87.7184
88,A general knowledge fact is a fact about a wide range of,1,76.1401
624,Chicago is the third most populous city in the United,1,97.2957
445,Marie Curie invented the theory of,1,80.1666
268,The Grand Canyon is located in,1,91.2647
6,Butterfly eggs are very sensitive to touch and,1,69.8315
630,Grana Padano cheese is one of the oldest types of cheese in the,1,89.0802
805,"Although hippopotamus milk is pink, the meat is",1,56.1064
197,Tarsiers are small primates with large,1,103.166
950,Ham radio is the longest surviving communications,1,77.1747
11,Trappers used to use beaver furs as,1,86.8173
