token,count,frac,class,target_mode,n_statements
 hot,1,0.005,content,runnerup,200
 colder,1,0.005,content,runnerup,200
 from,1,0.005,function,runnerup,200
 passion,1,0.005,content,runnerup,200
 bridges,1,0.005,content,runnerup,200
 black,1,0.005,content,runnerup,200
 nail,1,0.005,content,runnerup,200
 cab,1,0.005,content,runnerup,200
 reaction,1,0.005,content,runnerup,200
 less,1,0.005,content,runnerup,200
 equator,1,0.005,content,runnerup,200
 trapped,1,0.005,content,runnerup,200
 LESS,1,0.005,content,runnerup,200
 impossible,1,0.005,content,runnerup,200
 parts,1,0.005,content,runnerup,200
 mandatory,1,0.005,content,runnerup,200
’,1,0.005,punctuation,runnerup,200
 race,1,0.005,content,runnerup,200
 mammal,1,0.005,content,runnerup,200
 world,1,0.005,content,runnerup,200
 interstellar,1,0.005,content,runnerup,200
 percussion,1,0.005,content,runnerup,200
 observational,1,0.005,content,runnerup,200
 rate,1,0.005,content,runnerup,200
 roost,1,0.005,content,runnerup,200
 second,1,0.005,content,runnerup,200
 mornings,1,0.005,content,runnerup,200
 human,1,0.005,content,runnerup,200
 ethyl,1,0.005,content,runnerup,200
 desert,1,0.005,content,runnerup,200
 fruit,1,0.005,content,runnerup,200
 companions,1,0.005,content,runnerup,200
 refers,1,0.005,content,runnerup,200
 shoe,1,0.005,content,runnerup,200
 sensitivity,1,0.005,content,runnerup,200
 pherom,1,0.005,content,runnerup,200
 character,1,0.005,content,runnerup,200
 Turkey,1,0.005,content,runnerup,200
 doses,1,0.005,content,runnerup,200
 oil,1,0.005,content,runnerup,200
 turbine,1,0.005,content,runnerup,200
 moon,1,0.005,content,runnerup,200
 liger,1,0.005,content,runnerup,200
 group,1,0.005,content,runnerup,200
 metre,1,0.005,content,runnerup,200
 alternative,1,0.005,content,runnerup,200
 religious,1,0.005,content,runnerup,200
 discovered,1,0.005,content,runnerup,200
 organs,1,0.005,content,runnerup,200
 weeks,1,0.005,content,runnerup,200
 other,1,0.005,content,runnerup,200
 bed,1,0.005,content,runnerup,200
 Portland,1,0.005,content,runnerup,200
 nothing,1,0.005,content,runnerup,200
 lake,1,0.005,content,runnerup,200
 technology,1,0.005,content,runnerup,200
 record,1,0.005,content,runnerup,200
 traits,1,0.005,content,runnerup,200
 of,1,0.005,function,runnerup,200
 elected,1,0.005,content,runnerup,200
 Colombia,1,0.005,content,runnerup,200
 Florida,1,0.005,content,runnerup,200
 righ,1,0.005,content,runnerup,200
 set,1,0.005,content,runnerup,200
 many,1,0.005,content,runnerup,200
 beliefs,1,0.005,content,runnerup,200
 faith,1,0.005,content,runnerup,200
